VARIABLES="time" "Distance" "lon" "lat" "density" "Vx" "Vy" "Vz" "p" "Bx" "By" "Bz" "T"
ZONE
DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
2.012535849307e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 4.547237230471e+00 5.616182317903e+02 -1.875336728589e+00 -4.070808122450e+01 8.271750132306e+02 -1.010006395081e+02 -9.835082930302e+01 -1.347624754504e+02 6.568042244195e+05
2.012535963347e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 3.963524068493e+00 5.576873625342e+02 2.418115418218e+01 -3.753378948852e+01 5.992291673137e+02 -1.163098209683e+02 -8.429259294374e+01 -1.473826812775e+02 5.466092553632e+05
2.012536077388e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 3.739021545982e+00 5.538297957072e+02 3.941517257870e+01 -3.257832379125e+01 4.369341857876e+02 -1.271183943658e+02 -7.802319777957e+01 -1.526837229188e+02 4.229495628120e+05
2.012536191428e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 3.610028380782e+00 5.508544814625e+02 4.406140354682e+01 -2.571191252450e+01 3.158867726276e+02 -1.360505650093e+02 -7.844314780405e+01 -1.531670310168e+02 3.167729405211e+05
2.012536305468e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 3.458776014152e+00 5.496257694306e+02 4.396030693900e+01 -1.538714969688e+01 2.153750279260e+02 -1.438563231374e+02 -8.909855283928e+01 -1.488050758929e+02 2.251728096617e+05
2.012536419508e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 3.176092953152e+00 5.486879877709e+02 4.315715979246e+01 -6.884477733838e-01 1.351512202268e+02 -1.499959144349e+02 -1.055683007565e+02 -1.368486436216e+02 1.534134947476e+05
2.012536533549e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 2.768200655580e+00 5.501714367243e+02 4.259084893137e+01 1.293766927113e+01 7.955579616899e+01 -1.555477913281e+02 -1.225832462268e+02 -1.208152159710e+02 1.033143968920e+05
2.012536647589e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 2.337298970404e+00 5.509151469648e+02 4.439919740759e+01 2.171455006556e+01 4.462348824185e+01 -1.610197070732e+02 -1.354780563280e+02 -1.032780438188e+02 6.856158963031e+04
2.012536761629e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 1.976964585804e+00 5.491457101802e+02 4.799229110967e+01 2.467687441942e+01 2.629174644469e+01 -1.666250560149e+02 -1.434508699266e+02 -8.651577389992e+01 4.797184877694e+04
2.012536875669e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 1.728800432151e+00 5.439619449434e+02 5.269468293256e+01 2.323770278078e+01 1.821760854727e+01 -1.719437612446e+02 -1.467519640509e+02 -7.079796909742e+01 3.815552310376e+04
2.012536989709e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 1.523606380390e+00 5.378458411414e+02 5.636529438871e+01 1.809996738120e+01 1.409244644021e+01 -1.767183971354e+02 -1.482322478875e+02 -5.552961439563e+01 3.356382090538e+04
2.012537103750e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 1.327121089831e+00 5.326071866866e+02 5.766042152774e+01 1.332405469801e+01 1.141336901691e+01 -1.810669905570e+02 -1.490093310125e+02 -3.945365763968e+01 3.131174555519e+04
2.012537217790e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 1.155193123457e+00 5.268149772357e+02 5.743670473192e+01 8.975086671599e+00 9.597172427867e+00 -1.850091782068e+02 -1.482045374568e+02 -2.280981723522e+01 3.028377649066e+04
2.012537331830e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 1.045885827507e+00 5.200098871202e+02 5.592649015445e+01 4.770040419370e+00 8.843396599308e+00 -1.882059731100e+02 -1.457952795560e+02 -5.996288143868e+00 3.080519490795e+04
2.012537445870e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 9.839959305307e-01 5.134093385364e+02 5.387818523466e+01 8.544694014149e-01 8.569835355456e+00 -1.904976600172e+02 -1.419656946982e+02 1.076116352112e+01 3.170441057944e+04
2.012537559911e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 9.429283823876e-01 5.069815269910e+02 5.172969000275e+01 -2.681184334200e+00 8.499713372485e+00 -1.915898186479e+02 -1.368591770262e+02 2.724374263941e+01 3.277341414963e+04
2.012537673951e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 9.101757496226e-01 4.997096108272e+02 5.019839292524e+01 -5.780884005670e+00 8.516086517200e+00 -1.914252044777e+02 -1.302226031961e+02 4.309495166198e+01 3.397238006195e+04
2.012537787991e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 8.820658072454e-01 4.927153378671e+02 4.851641241905e+01 -8.410851155119e+00 8.648834695120e+00 -1.903809582849e+02 -1.226681635968e+02 5.816261452208e+01 3.556711850437e+04
2.012537902031e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 8.556086501339e-01 4.863730527818e+02 4.678907053138e+01 -1.033922534242e+01 8.796803018855e+00 -1.887600106199e+02 -1.143985107673e+02 7.239713375795e+01 3.730528598306e+04
2.012538016072e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 8.272396422782e-01 4.803586587268e+02 4.581844919476e+01 -1.175008196152e+01 8.675607443876e+00 -1.863776917463e+02 -1.052952217919e+02 8.542768248363e+01 3.806407859041e+04
2.012538130112e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 7.986578920435e-01 4.746857517690e+02 4.542208149357e+01 -1.282646904477e+01 8.410885596935e+00 -1.833978196418e+02 -9.565557151391e+01 9.703460421218e+01 3.821011869467e+04
2.012538244152e+03 1.020000000000e+00 3.871507555516e+01 4.400000000000e+00 7.708817714492e-01 4.693980355853e+02 4.560414982679e+01 -1.354360115629e+01 8.069550917656e+00 -1.800456863468e+02 -8.575987705749e+01 1.072236560214e+02 3.797293321471e+04
2.012538358192e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 7.705113232465e-01 4.563458191345e+02 4.642861880376e+01 -1.806241982052e+01 8.428128684794e+00 -1.742555204606e+02 -7.694135953413e+01 1.274158753589e+02 3.953662691523e+04
2.012538472233e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 7.426828548904e-01 4.518384792973e+02 4.822307406403e+01 -1.794604376945e+01 7.557470309201e+00 -1.676975737684e+02 -6.666272868147e+01 1.346073445539e+02 3.686996762272e+04
2.012538586273e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 7.195175147458e-01 4.479810817533e+02 5.002343151485e+01 -1.781888684813e+01 6.815950704302e+00 -1.607161480659e+02 -5.692769947784e+01 1.403451929535e+02 3.434286189318e+04
2.012538700313e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 6.985220630389e-01 4.446526983871e+02 5.179193913737e+01 -1.782607769206e+01 6.288090216823e+00 -1.536283840022e+02 -4.789176461307e+01 1.446759202318e+02 3.263344503789e+04
2.012538814353e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 6.791114351392e-01 4.417855667928e+02 5.337618459350e+01 -1.815478920793e+01 5.962526066926e+00 -1.465796806685e+02 -3.962943782472e+01 1.477140379051e+02 3.182526685359e+04
2.012538928394e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 6.575225149067e-01 4.394963546827e+02 5.469257205695e+01 -1.896411190461e+01 5.731193661295e+00 -1.397321008677e+02 -3.214917342914e+01 1.495764177852e+02 3.159272806123e+04
2.012539042434e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 6.331246323643e-01 4.375665002509e+02 5.569999285136e+01 -2.023023543217e+01 5.549693621896e+00 -1.332075355149e+02 -2.540903693024e+01 1.504714993232e+02 3.177771331034e+04
2.012539156474e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 6.027951317853e-01 4.357542269754e+02 5.668481941295e+01 -2.163802087721e+01 5.444888859105e+00 -1.271469171223e+02 -1.933893102175e+01 1.506479464724e+02 3.278064041790e+04
2.012539270514e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 5.655152430685e-01 4.340332827586e+02 5.785124444739e+01 -2.313925864398e+01 5.381125503376e+00 -1.215218191264e+02 -1.386952883917e+01 1.502430993289e+02 3.454155829584e+04
2.012539384555e+03 1.020000000000e+00 3.971507555516e+01 4.500000000000e+00 5.287095679902e-01 4.322828846207e+02 5.934875980815e+01 -2.488362274960e+01 5.276322538811e+00 -1.162951154104e+02 -8.970541350766e+00 1.493842536895e+02 3.622014288230e+04
